,날짜,종목번호,시가,최고가,최저가,종가,거래량,일일주가변동률,유동주식,기준,ETF_지수
0,2020-01-02,870900,363354,368328,358692,363468,9842046,0.0,1557026421,20_Low,100.0
1,2020-01-03,870900,363209,373396,359317,364911,16576216,0.06823404000000001,1557026421,20_Low,100.39700881508138
2,2020-01-06,870900,360642,363679,347160,352522,11246194,-0.61230546,1557026421,20_Low,96.98845565496825
3,2020-01-07,870900,355595,362451,350162,353255,7400031,0.04304173,1557026421,20_Low,97.1901240274247
4,2020-01-08,870900,351606,353649,330521,335164,43293872,-1.09635377,1557026421,20_Low,92.21279452386455
5,2020-01-09,870900,326281,346490,321766,352920,14926941,0.68594856,1557026421,20_Low,97.0979563537918
6,2020-01-10,870900,334628,345953,329908,356068,48066820,0.51896311,1557026421,20_Low,97.96405735855701
7,2020-01-13,870900,335039,350463,329341,359799,15882026,0.24892021,1557026421,20_Low,98.99055762818185
8,2020-01-14,870900,343601,350250,333201,358311,58753443,0.024515990000000005,1557026421,20_Low,98.58116808082143
9,2020-01-15,870900,339571,347510,334377,360587,28616936,0.06500264,1557026421,20_Low,99.20735800675713
10,2020-01-16,870900,338796,343255,329296,350759,14112532,-0.36161186,1557026421,20_Low,96.50340607701365
11,2020-01-17,870900,333966,342407,330608,354340,15972826,0.17186141,1557026421,20_Low,97.48863723904168
12,2020-01-20,870900,335830,338852,327767,348716,9513469,-0.22174361,1557026421,20_Low,95.94132083154501
13,2020-01-21,870900,330625,338185,323912,346972,8869251,-0.23234760000000002,1557026421,20_Low,95.46149867388601
14,2020-01-22,870900,328123,333354,323646,347506,9390749,0.09701436000000001,1557026421,20_Low,95.60841669693068
15,2020-01-23,870900,328181,333920,321838,344595,8736060,-0.19626475999999998,1557026421,20_Low,94.80752088216843
16,2020-01-28,870900,307589,319769,303614,332081,12263353,-0.76143453,1557026421,20_Low,91.36457679905796
17,2020-01-29,870900,316902,320439,310299,332699,9046333,0.23711568000000002,1557026421,20_Low,91.53460552235686
18,2020-01-30,870900,312454,319271,298755,321962,59407021,-0.11133217000000002,1557026421,20_Low,88.58056280057667
19,2020-01-31,870900,302254,310345,290429,310848,53851112,-0.9706925900000001,1557026421,20_Low,85.52279705503648
20,2020-02-03,870900,284239,297166,276959,311327,17037943,-0.05772001,1557026421,20_Low,85.65458307196232
21,2020-02-04,870900,292567,309666,291358,323451,48300763,0.95774137,1557026421,20_Low,88.99022747532108
22,2020-02-05,870900,307530,315177,298470,319583,17696603,0.03294904999999999,1557026421,20_Low,87.92603475409115
23,2020-02-06,870900,305676,314512,302022,328512,14020740,0.42005554,1557026421,20_Low,90.38264716563769
24,2020-02-07,870900,308948,319827,304948,330923,50336324,0.15997765,1557026421,20_Low,91.04597928841054
25,2020-02-10,870900,312219,322445,307944,336293,15422467,0.18372578,1557026421,20_Low,92.52341334037659
26,2020-02-11,870900,315979,321606,311221,335260,43952576,0.1443143,1557026421,20_Low,92.23920675272652
27,2020-02-12,870900,316960,320875,306509,332534,16519807,-0.09385631,1557026421,20_Low,91.48920950400036
28,2020-02-13,870900,314377,318168,306776,328655,13015578,-0.32988523000000003,1557026421,20_Low,90.42199038154666
29,2020-02-14,870900,297378,302409,293314,328355,19107229,0.04920522000000001,1557026421,20_Low,90.33945216635301
30,2020-02-17,870900,295900,299577,284971,323945,17949776,-0.14973609999999998,1557026421,20_Low,89.12614040300659
31,2020-02-18,870900,292899,294964,282921,317542,13155044,-0.33979597,1557026421,20_Low,87.36449976339044
32,2020-02-19,870900,285659,289321,276978,314951,15379792,-0.021084389999999995,1557026421,20_Low,86.65164471150143
33,2020-02-20,870900,282958,287299,277548,313204,10007361,-0.13892328,1557026421,20_Low,86.17099717169049
34,2020-02-21,870900,277324,283000,269908,305268,8613261,-0.6686819900000001,1557026421,20_Low,83.98758625243488
35,2020-02-24,870900,267192,271755,256450,291066,14917459,-1.23132164,1557026421,20_Low,80.08022714516821
36,2020-02-25,870900,254782,273846,252774,301556,42230594,0.25059847,1557026421,20_Low,82.96631340310564
37,2020-02-26,870900,263853,273681,261714,301931,43714335,-0.010684789999999996,1557026421,20_Low,83.06948617209768
38,2020-02-27,870900,269169,275551,257229,292693,25074358,-0.8175767,1557026421,20_Low,80.5278593989017
39,2020-02-28,870900,255146,261609,245128,280626,18360613,-1.05269617,1557026421,20_Low,77.20789725642973
40,2020-03-02,870900,249082,257771,245049,285894,15831656,0.58993955,1557026421,20_Low,78.65726831522996
41,2020-03-03,870900,260902,267648,256121,290122,25544984,0.36580972,1557026421,20_Low,79.82050689469224
42,2020-03-04,870900,257064,267637,256544,297576,13944437,0.66540607,1557026421,20_Low,81.87130641487008
43,2020-03-05,870900,282367,291527,275377,304969,18702862,0.55360028,1557026421,20_Low,83.90532316462523
44,2020-03-06,870900,291122,297474,276729,302209,10705104,-0.54931513,1557026421,20_Low,83.14597158484378
45,2020-03-09,870900,275689,283040,264060,287475,12829115,-1.15753406,1557026421,20_Low,79.0922447093004
46,2020-03-10,870900,264481,271793,259167,287612,13580964,0.005336029999999988,1557026421,20_Low,79.1299371609055
47,2020-03-11,870900,270394,275048,253015,275532,12331172,-1.00685845,1557026421,20_Low,75.80639836244181
48,2020-03-12,870900,253267,257890,233811,256198,18098676,-1.80161657,1557026421,20_Low,70.48708552059604
49,2020-03-13,870900,218643,229614,199202,237114,23753590,-2.33247552,1557026421,20_Low,65.23655452474496
50,2020-03-16,870900,218551,227589,205517,225713,14275352,-1.28703315,1557026421,20_Low,62.09982722000286
51,2020-03-17,870900,189826,211730,189444,225668,15624233,0.12122406999999999,1557026421,20_Low,62.08744648772382
52,2020-03-18,870900,209039,220082,195772,215787,25967834,-1.02664407,1557026421,20_Low,59.36891280662947
53,2020-03-19,870900,199096,203243,165783,189020,31768212,-3.75290198,1557026421,20_Low,52.00457811966941
54,2020-03-20,870900,169449,186012,165339,202568,21944916,1.60006401,1557026421,20_Low,55.73200391781394
55,2020-03-23,870900,172185,176706,163473,187505,11542270,-1.76721022,1557026421,20_Low,51.587760132941554
56,2020-03-24,870900,171016,178300,165382,193710,17815213,0.9399417400000001,1557026421,20_Low,53.29492555052989
57,2020-03-25,870900,199420,212641,192594,206164,20040216,1.68369547,1557026421,20_Low,56.72136199060165
58,2020-03-26,870900,206612,220081,198574,209997,17439517,0.48178115,1557026421,20_Low,57.77592525339232
59,2020-03-27,870900,217544,224330,203419,211084,15873092,0.24591878,1557026421,20_Low,58.07498871977725
60,2020-03-30,870900,200867,213034,195541,214755,13815499,0.74075923,1557026421,20_Low,59.084981346363364
61,2020-03-31,870900,217099,243818,208767,243217,28604836,1.32229758,1557026421,20_Low,66.91565694916747
62,2020-04-01,870900,234703,253231,223577,233847,16963875,-0.34128031000000003,1557026421,20_Low,64.33771336128628
63,2020-04-02,870900,229427,240048,219152,239220,13043487,0.55544734,1557026421,20_Low,65.81597279540428
64,2020-04-03,870900,235876,242191,227518,239368,13790071,0.255636,1557026421,20_Low,65.85669164823314
65,2020-04-06,870900,236511,247315,230574,247585,16210194,0.82970135,1557026421,20_Low,68.11741336238678
66,2020-04-07,870900,247385,265249,239730,256327,26224252,0.76076719,1557026421,20_Low,70.5225769531293
67,2020-04-08,870900,248792,254957,242312,252391,11922357,-0.13517135,1557026421,20_Low,69.43967556978882
68,2020-04-09,870900,252895,265859,248525,260223,10423702,0.2907486,1557026421,20_Low,71.59447324111063
69,2020-04-10,870900,254871,262515,243803,264239,10168355,-0.14782389999999998,1557026421,20_Low,72.69938481516942
70,2020-04-13,870900,257918,262894,250488,258738,7087043,-0.53145984,1557026421,20_Low,71.18590907590215
71,2020-04-14,870900,255058,282288,254095,272202,25424956,0.83977494,1557026421,20_Low,74.89022417379246
72,2020-04-16,870900,270490,305969,265467,304468,24037754,0.34233631000000003,1557026421,20_Low,83.76748434525186
73,2020-04-17,870900,294626,304067,284039,298295,69323270,0.71018743,1557026421,20_Low,82.06912300395082
74,2020-04-20,870900,293838,326866,287344,306695,59001412,0.32504116,1557026421,20_Low,84.38019302937259
75,2020-04-21,870900,303633,320881,263769,299858,47702671,-0.29342559,1557026421,20_Low,82.49914710510966
76,2020-04-22,870900,288912,303113,280872,305912,32362595,0.39461349,1557026421,20_Low,84.16476828771722
77,2020-04-23,870900,300601,325583,295675,309013,31303897,0.13231835,1557026421,20_Low,85.01793830543541
78,2020-04-24,870900,308005,314481,294511,306216,32992729,-0.46114016,1557026421,20_Low,84.24840701244676
79,2020-04-27,870900,308219,316339,293376,309042,36130250,0.46367837999999995,1557026421,20_Low,85.02591699957081
80,2020-04-28,870900,305063,309327,292446,303793,29630159,-0.13728566,1557026421,20_Low,83.58177336106617
81,2020-04-29,870900,303980,306754,295063,304125,10467308,0.057037380000000006,1557026421,20_Low,83.67311565254712
82,2020-05-04,870900,305951,311427,293430,305571,11413987,0.043219549999999995,1557026421,20_Low,84.07094984978045
83,2020-05-06,870900,302803,309162,297448,312470,33396202,0.79833896,1557026421,20_Low,85.96905367185008
84,2020-05-07,870900,307477,317592,304180,317604,171531527,0.42638447,1557026421,20_Low,87.38155766119714
85,2020-05-08,870900,313943,319478,310667,320790,62650995,0.06742891000000001,1557026421,20_Low,88.25811350655354
86,2020-05-11,870900,311694,315869,302755,311698,45218750,-0.23752706,1557026421,20_Low,85.75665533141846
87,2020-05-12,870900,308024,309757,294035,303415,23905191,-0.3415284,1557026421,20_Low,83.47777520992219
88,2020-05-13,870900,291918,302226,289820,303267,28232942,0.08019304000000001,1557026421,20_Low,83.43705635709333
89,2020-05-14,870900,295039,300053,289566,296341,27823169,-0.38784455,1557026421,20_Low,81.5315240956563
90,2020-05-15,870900,291640,299524,283280,297843,26499674,-0.09819953999999999,1557026421,20_Low,81.94476542639242
91,2020-05-18,870900,290697,296173,284501,296660,32008829,-0.013727579999999998,1557026421,20_Low,81.61928973114551
92,2020-05-19,870900,295695,305438,289896,300236,69698364,0.36705944,1557026421,20_Low,82.60314525625364
93,2020-05-20,870900,293399,301185,291416,303288,26708836,0.33013771,1557026421,20_Low,83.44283403215688
94,2020-05-21,870900,300832,305313,293833,304549,54947436,0.08519803,1557026421,20_Low,83.78976966335414
95,2020-05-22,870900,300057,305441,293165,302569,27289666,-0.30090409,1557026421,20_Low,83.24501744307614
96,2020-05-25,870900,296800,301307,290680,301373,102030525,0.55594529,1557026421,20_Low,82.91596509183752
97,2020-05-26,870900,295749,310125,293390,307129,127138375,0.47065105,1557026421,20_Low,84.49959831401938
98,2020-05-27,870900,302533,305074,294380,304056,33535666,0.06044612000000002,1557026421,20_Low,83.6541318630526
99,2020-05-28,870900,301276,305239,289308,299427,36773942,-0.46359121000000003,1557026421,20_Low,82.38056720261481
100,2020-05-29,870900,294351,298650,289532,299416,22078294,-0.07950320999999999,1557026421,20_Low,82.37754080139105
101,2020-06-01,870900,294900,301443,293342,302463,37733570,0.33726259000000003,1557026421,20_Low,83.2158539403744
102,2020-06-02,870900,298643,305633,295150,305143,39703832,0.30889228999999996,1557026421,20_Low,83.95319532943752
103,2020-06-03,870900,301173,304050,294744,304367,22663660,0.03574698,1557026421,20_Low,83.73969647947
104,2020-06-04,870900,299479,309793,296425,306813,32883592,0.12818309,1557026421,20_Low,84.4126580606821
105,2020-06-05,870900,302514,307989,299198,310591,13527578,0.15154843,1557026421,20_Low,85.45208931735392
106,2020-06-08,870900,303227,308230,296594,308119,19760851,0.15333616,1557026421,20_Low,84.77197442415839
107,2020-06-09,870900,299754,303888,292956,302881,18472074,-0.11735585,1557026421,20_Low,83.33085718687752
108,2020-06-10,870900,296528,299552,289679,300744,12788190,-0.16591474,1557026421,20_Low,82.74290996731487
109,2020-06-11,870900,296047,300814,288917,298608,24363279,-0.21695054,1557026421,20_Low,82.1552378751362
110,2020-06-12,870900,276380,291377,271866,293753,18029377,-0.5376042799999999,1557026421,20_Low,80.8194944259192
111,2020-06-15,870900,282928,288320,264794,271470,19487453,-1.54422038,1557026421,20_Low,74.68883092872
112,2020-06-16,870900,273102,297867,270575,287768,12666795,1.11759487,1557026421,20_Low,79.17285703280619
113,2020-06-17,870900,274448,279394,267008,276924,17729155,-0.14075440999999997,1557026421,20_Low,76.18937568094027
114,2020-06-18,870900,271545,285384,265759,282887,18282657,0.28311851,1557026421,20_Low,77.82996027160576
115,2020-06-19,870900,279037,311999,274082,293393,27108503,0.43516038,1557026421,20_Low,80.72044856768684
116,2020-06-22,870900,285269,293971,275368,284219,18337771,-0.16307357000000003,1557026421,20_Low,78.1964299470655
117,2020-06-23,870900,280424,285209,270215,278273,16079341,-0.28582944,1557026421,20_Low,76.56052252192765
118,2020-06-24,870900,290416,307461,278199,306300,36755256,0.41463455,1557026421,20_Low,84.27151771270098
119,2020-06-25,870900,291138,295706,281174,289801,12943875,-0.50986483,1557026421,20_Low,79.73219100443505
120,2020-06-26,870900,287427,289555,273140,281796,14263547,-0.38344992,1557026421,20_Low,77.5297962956849
121,2020-06-29,870900,273516,281403,267634,276306,28165512,-0.49675694,1557026421,20_Low,76.01934695764139
122,2020-06-30,870900,273865,279840,268408,281640,15800004,0.486926,1557026421,20_Low,77.48687642378421
123,2020-07-01,870900,279345,290468,274253,286263,12302775,0.05876863,1557026421,20_Low,78.75879031991812
124,2020-07-02,870900,282622,291041,278720,290576,13857817,0.49359434,1557026421,20_Low,79.9454147270186
125,2020-07-03,870900,289638,299678,283009,303126,34069582,0.59978222,1557026421,20_Low,83.39826339595233
126,2020-07-06,870900,296966,304911,289738,307098,40559442,0.45239171,1557026421,20_Low,84.49106936511605
127,2020-07-07,870900,299443,305063,292372,300857,58744516,-0.03832528999999999,1557026421,20_Low,82.77399936170447
128,2020-07-08,870900,298631,309942,292522,305806,21727811,0.15996759000000002,1557026421,20_Low,84.13560478501546
129,2020-07-09,870900,302113,307156,293048,303234,29695302,0.30047113,1557026421,20_Low,83.42797715342203
130,2020-07-10,870900,300194,307300,289303,300477,30524544,0.02208341999999999,1557026421,20_Low,82.66945095579253
131,2020-07-13,870900,295202,302438,287881,303201,35210372,0.24501726000000001,1557026421,20_Low,83.41889794975074
132,2020-07-14,870900,294579,299503,290241,299787,21488558,-0.15868774,1557026421,20_Low,82.47961306084717
133,2020-07-15,870900,300799,309884,295046,310420,42209532,0.6441020399999999,1557026421,20_Low,85.40504253469356
134,2020-07-16,870900,304940,313753,294855,308772,28888920,-0.15661567999999998,1557026421,20_Low,84.95163260589653
135,2020-07-17,870900,306494,312671,299241,309422,12090434,0.07503602000000001,1557026421,20_Low,85.13046540548274
136,2020-07-20,870900,305156,309418,294399,305560,17908207,-0.43810033000000004,1557026421,20_Low,84.06792344855668
137,2020-07-21,870900,302382,306269,296540,306277,11183949,0.03417075,1557026421,20_Low,84.26518978286947
138,2020-07-22,870900,299455,306198,294518,306381,16179305,0.10252159999999999,1557026421,20_Low,84.29380303080326
139,2020-07-23,870900,300432,304121,293866,302646,22528017,0.02978883999999997,1557026421,20_Low,83.26620225164251
140,2020-07-24,870900,296379,301690,290503,299147,16147754,-0.22420745,1557026421,20_Low,82.30353153510075
141,2020-07-27,870900,293344,306929,291096,308198,21842402,0.56871819,1557026421,20_Low,84.7937094874927
142,2020-07-28,870900,308140,317239,296816,306569,27391508,-0.021067549999999997,1557026421,20_Low,84.34552697899127
143,2020-07-29,870900,300429,309559,296621,308272,33011772,0.04133417,1557026421,20_Low,84.81406891390714
144,2020-07-30,870900,304742,311287,299161,309926,19500561,0.06185879,1557026421,20_Low,85.26912960700804
145,2020-07-31,870900,304505,307653,298922,306106,10117008,-0.21563618,1557026421,20_Low,84.2181430002091
146,2020-08-03,870900,303736,307035,296418,307075,11135311,0.004430489999999985,1557026421,20_Low,84.48474143528453
147,2020-08-04,870900,302854,311415,299160,311781,17016980,0.3848182,1557026421,20_Low,85.77949090428869
148,2020-08-05,870900,307716,310761,301096,310253,11184295,-0.14314547,1557026421,20_Low,85.3590962615691
149,2020-08-06,870900,305907,312266,302472,312744,10418016,0.09273513,1557026421,20_Low,86.04443857506025
150,2020-08-07,870900,309522,316407,302438,316011,25131475,0.30691994,1557026421,20_Low,86.94327973851892
151,2020-08-10,870900,313648,317695,305044,315045,19065744,0.14449769999999998,1557026421,20_Low,86.67750668559543
152,2020-08-11,870900,310196,319465,306740,317163,23355110,0.07843922000000002,1557026421,20_Low,87.26022648486249
153,2020-08-12,870900,312534,315739,301852,313421,21341394,-0.32931989,1557026421,20_Low,86.23069981401389
154,2020-08-13,870900,310351,316257,304112,316495,27502208,0.36459428,1557026421,20_Low,87.07644139236467
155,2020-08-14,870900,311298,315404,302233,314191,37743181,-0.16817913,1557026421,20_Low,86.44254789967755
156,2020-08-18,870900,307908,311537,286991,295770,39854692,-1.33217399,1557026421,20_Low,81.37442635940441
157,2020-08-19,870900,291206,300790,288421,302492,26906151,0.73210341,1557026421,20_Low,83.22383263450978
158,2020-08-20,870900,292983,300195,280334,289917,26051391,-0.95100166,1557026421,20_Low,79.76410578097659
159,2020-08-21,870900,285325,302068,279932,292683,22362752,0.31864301,1557026421,20_Low,80.5251081250619
160,2020-08-24,870900,286715,293128,280845,295900,11763605,0.3347652,1557026421,20_Low,81.41019291932164
161,2020-08-25,870900,292109,299112,289155,300577,11681061,0.48437584,1557026421,20_Low,82.6969636941904
162,2020-08-26,870900,296186,300252,289078,298789,20102853,-0.03385771,1557026421,20_Low,82.20503593163635
163,2020-08-27,870900,294001,297650,281945,291593,50674309,-0.35897850000000003,1557026421,20_Low,80.22521927652502
164,2020-08-28,870900,288046,292756,283396,292887,88579823,-0.03464086,1557026421,20_Low,80.58123411139357
165,2020-08-31,870900,292966,300137,285797,295079,115960428,0.56269645,1557026421,20_Low,81.18431333707507
166,2020-09-01,870900,290480,298031,286958,297453,155481761,0.57356092,1557026421,20_Low,81.83746574664069
167,2020-09-02,870900,294141,299759,289555,301530,45437573,0.1839502,1557026421,20_Low,82.95916009112219
168,2020-09-03,870900,296691,304000,292920,304138,47564537,0.23126765,1557026421,20_Low,83.67669230853886
169,2020-09-04,870900,289186,298021,287091,300396,41301078,-0.12264056,1557026421,20_Low,82.64716563769025
170,2020-09-07,870900,294222,303414,290441,304507,63564757,0.29536782,1557026421,20_Low,83.77821431322702
171,2020-09-08,870900,300801,304663,293117,300877,26646100,-0.28739525,1557026421,20_Low,82.77950190938405
172,2020-09-09,870900,291880,296239,288637,298081,26357537,-0.08260415,1557026421,20_Low,82.01024574377938
173,2020-09-10,870900,294818,299351,290640,300666,85309011,0.28442719,1557026421,20_Low,82.72145003136451
174,2020-09-11,870900,298915,306602,289873,303436,38216747,-0.05628646000000001,1557026421,20_Low,83.48355288498574
175,2020-09-14,870900,297702,308298,293696,308099,22972699,0.07560165999999999,1557026421,20_Low,84.76647187647882
176,2020-09-15,870900,304861,312732,298394,310143,34181647,0.35000222999999997,1557026421,20_Low,85.32883224933144
177,2020-09-16,870900,309417,313930,299736,309090,26941362,-0.14167386999999998,1557026421,20_Low,85.03912311400178
178,2020-09-17,870900,304056,308724,297475,306537,24512915,-0.14998745,1557026421,20_Low,84.33672290270395
179,2020-09-18,870900,302879,309357,298533,309495,35276844,0.22791132,1557026421,20_Low,85.1505497045132
180,2020-09-21,870900,306593,316728,294840,307394,41198580,-0.15505730999999995,1557026421,20_Low,84.57250707077377
181,2020-09-22,870900,300861,307090,290662,300149,36858026,-0.44381679,1557026421,20_Low,82.57920917384749
182,2020-09-23,870900,297396,302873,286129,298152,19188630,-0.13818544,1557026421,20_Low,82.02977978804186
183,2020-09-24,870900,286888,296673,280999,288754,16190430,-0.9113289,1557026421,20_Low,79.44413263340927
184,2020-09-25,870900,285751,300821,277387,298741,19137712,0.24264063,1557026421,20_Low,82.19182981720536
185,2020-09-28,870900,294315,301476,287263,299676,20526912,0.51026617,1557026421,20_Low,82.44907392122552
186,2020-09-29,870900,296176,301026,291337,301496,14486175,0.35987928,1557026421,20_Low,82.94980576006691
187,2020-10-05,870900,293041,298784,289247,301217,18953572,0.31867392,1557026421,20_Low,82.87304521993684
188,2020-10-06,870900,296721,302066,292852,300859,26187270,0.03514189999999999,1557026421,20_Low,82.77454961647243
189,2020-10-07,870900,293523,300839,292177,303192,34373772,0.30762529,1557026421,20_Low,83.41642180329492
190,2020-10-08,870900,300519,303238,295383,303707,24718350,0.17532342,1557026421,20_Low,83.55811240604399
191,2020-10-12,870900,302973,307683,298499,308342,19294196,0.12078669,1557026421,20_Low,84.83332783078565
192,2020-10-13,870900,303900,305432,296018,307414,41462755,0.07628022999999999,1557026421,20_Low,84.57800961845334
193,2020-10-14,870900,301771,304743,293463,299768,29219140,-0.34065035,1557026421,20_Low,82.47438564055157
194,2020-10-15,870900,294379,299904,287780,298997,25304638,-0.1998118,1557026421,20_Low,82.26226242750393
195,2020-10-16,870900,294002,299587,287860,299410,27424773,-0.14025184,1557026421,20_Low,82.37589003708717
196,2020-10-19,870900,294224,298857,289243,296799,98968999,0.15244205,1557026421,20_Low,81.65753243751858
197,2020-10-20,870900,290054,300375,284406,301421,42917979,0.12686191,1557026421,20_Low,82.9291712062685
198,2020-10-21,870900,296000,303356,291169,302418,77720677,0.1575729,1557026421,20_Low,83.20347320809535
199,2020-10-22,870900,296195,300967,288955,298203,101803250,-0.25980020000000004,1557026421,20_Low,82.04381128462478
200,2020-10-23,870900,294036,298176,286892,295567,102054550,-0.31501452,1557026421,20_Low,81.31857550045672
201,2020-10-26,870900,289901,292088,279087,285439,86595141,-0.93798551,1557026421,20_Low,78.53208535551961
202,2020-10-27,870900,276909,283864,273693,283040,69730734,-0.12357732,1557026421,20_Low,77.8720547613545
203,2020-10-28,870900,276287,283969,274238,287018,73417612,0.45694289,1557026421,20_Low,78.9665114948221
204,2020-10-29,870900,276265,282026,272825,285769,24371325,-0.08806468999999999,1557026421,20_Low,78.62287739223261
205,2020-10-30,870900,280404,286691,272725,280273,70557698,-0.25761007,1557026421,20_Low,77.1107772898852
206,2020-11-02,870900,274391,281564,272252,282813,35337018,0.37205534,1557026421,20_Low,77.80960084519133
207,2020-11-03,870900,278621,287820,277569,290350,26353801,0.24579325000000002,1557026421,20_Low,79.88323593823941
208,2020-11-04,870900,285699,303108,281658,301008,57570132,0.32399566,1557026421,20_Low,82.81554359668527
209,2020-11-05,870900,286242,291366,282481,293531,65666478,0.28919225000000004,1557026421,20_Low,80.75841614667591
210,2020-11-06,870900,290159,294478,284132,294766,144635836,0.3871851,1557026421,20_Low,81.09819846588971
211,2020-11-09,870900,291040,298515,289310,300740,81896098,0.63550776,1557026421,20_Low,82.74180945777894
212,2020-11-10,870900,295636,305108,290854,305770,91814125,0.36376566,1557026421,20_Low,84.12570019919222
213,2020-11-11,870900,303563,308759,297552,308341,56818496,-0.03309870999999999,1557026421,20_Low,84.83305270340168
214,2020-11-12,870900,306520,319070,301272,316571,57578709,0.34986951,1557026421,20_Low,87.09735107354705
215,2020-11-13,870900,311090,323159,305884,318579,138972479,-0.02198284999999999,1557026421,20_Low,87.64980686057645
216,2020-11-16,870900,316446,320931,307055,317092,52006270,-0.07433657,1557026421,20_Low,87.2406924406
217,2020-11-17,870900,315250,323708,303006,312949,66413435,-0.26517026,1557026421,20_Low,86.10083968877589
218,2020-11-18,870900,312316,318057,305263,314948,160839568,0.24281724000000002,1557026421,20_Low,86.65081932934949
219,2020-11-19,870900,313213,315238,306404,315904,105060836,-0.046843430000000005,1557026421,20_Low,86.9138411084332
220,2020-11-20,870900,312363,316940,305646,317325,61934439,0.2624187,1557026421,20_Low,87.30479712106705
221,2020-11-23,870900,313038,316185,307224,316130,32615175,0.021042750000000006,1557026421,20_Low,86.97601989721241
222,2020-11-24,870900,313627,320600,308822,318829,173166883,0.40688653,1557026421,20_Low,87.71858870657114
223,2020-11-25,870900,315445,318816,304741,312169,77392313,-0.28170346,1557026421,20_Low,85.88624032927245
224,2020-11-26,870900,308162,313740,303765,313791,33962599,0.010165969999999998,1557026421,20_Low,86.33249694608604
225,2020-11-27,870900,311338,317919,306773,317911,38840023,0.2575455,1557026421,20_Low,87.46602176807862
226,2020-11-30,870900,314102,317281,308097,316149,29365207,0.11401335,1557026421,20_Low,86.98124731750801
227,2020-12-01,870900,310521,316073,306333,317548,60729844,0.27148547,1557026421,20_Low,87.36615052769432
228,2020-12-02,870900,314842,317087,308724,317551,24959342,-0.03748205,1557026421,20_Low,87.36697590984626
229,2020-12-03,870900,312926,315873,306760,315478,24862155,-0.12776896000000001,1557026421,20_Low,86.79663684285825
230,2020-12-04,870900,310076,316529,303952,315386,40623190,0.09446835,1557026421,20_Low,86.7713251235322
231,2020-12-07,870900,309898,312508,303604,313699,28542195,-0.11865168,1557026421,20_Low,86.30718522675998
232,2020-12-08,870900,309592,316965,304456,314205,41175460,-0.06853200000000001,1557026421,20_Low,86.44639968305326
233,2020-12-09,870900,310774,321236,305922,321145,41239636,0.38844483,1557026421,20_Low,88.355783727866
234,2020-12-10,870900,314079,319928,310354,320570,37140288,-0.042107420000000007,1557026421,20_Low,88.1975854820782
235,2020-12-11,870900,317686,319878,311906,321823,37748848,0.034870029999999996,1557026421,20_Low,88.54232009420362
236,2020-12-14,870900,315553,319967,309295,318911,33807175,-0.26884921,1557026421,20_Low,87.7411491520574
237,2020-12-15,870900,312605,317183,308124,315983,47539175,-0.09618927,1557026421,20_Low,86.93557617176752
238,2020-12-16,870900,313193,320492,309877,320649,45077591,0.46191013999999997,1557026421,20_Low,88.21932054541253
239,2020-12-17,870900,316338,320501,312434,322138,92951367,0.11189070999999999,1557026421,20_Low,88.62898522015693
240,2020-12-18,870900,318969,325319,314822,324617,42228881,0.039398380000000004,1557026421,20_Low,89.31102600504033
241,2020-12-21,870900,320826,324638,312755,325100,26084618,-0.04865501999999999,1557026421,20_Low,89.4439125315021
242,2020-12-22,870900,319123,321206,307288,314870,26395223,-0.7306707,1557026421,20_Low,86.62935939339914
